역별 여객수송실적(월),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
연월,역명/열차종별,합계_승차수(명),합계_하차수(명),KTX_승차수(명),KTX_하차수(명),새마을_승차수(명),새마을_하차수(명),무궁화_승차수(명),무궁화_하차수(명)),통근열차_승차수(명),통근열차_하차수(명),누리로_승차수(명),누리로_하차수(명),KTX산천_승차수(명),KTX산천_하차수(명),ITX새마을_승차수(명),ITX새마을_하차수(명),ITX청춘열차_승차수(명),ITX청춘열차_하차수(명),KTX호남_승차수(명),KTX호남_하차수(명)
202002,신경주,26319,25505,23885,21317,0,0,0,0,0,0,0,0,1697,4071,0,0,0,0,737,117
202002,울산,96657,97768,91570,88558,0,0,0,0,0,0,0,0,2858,7481,0,0,0,0,2229,1729
202002,상봉,9845,10768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,1349,8955,9419
202002,진례,130,136,0,0,0,0,130,136,0,0,0,0,0,0,0,0,0,0,0,0
202002,창원중앙,55709,54786,24425,25752,280,189,9837,9842,0,0,0,0,17653,15501,2232,1883,0,0,1282,1619
202002,인천공항T1,4469,6622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,비동,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,공주,4056,3950,2742,2517,0,0,0,0,0,0,0,0,1314,1433,0,0,0,0,0,0
202002,포항,60856,60788,15028,12822,0,0,5100,5938,0,0,0,0,39944,41796,0,0,0,0,784,232
202002,횡성,4780,4597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4780,4597
202002,둔내,3051,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051,3074
202002,평창,5765,6199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5765,6199
202002,진부,9289,9260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9289,9260
202002,인천공항T2,1807,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,월포,698,575,0,0,0,0,698,575,0,0,0,0,0,0,0,0,0,0,0,0
202002,장사,282,265,0,0,0,0,282,265,0,0,0,0,0,0,0,0,0,0,0,0
202002,강구,666,489,0,0,0,0,666,489,0,0,0,0,0,0,0,0,0,0,0,0
